material,cantidad,precio_unitario,unidad,proveedor,fecha_pedido,_ingested_at,_source,costo_total,_processed_at
Cemento,2458.25,673.09,ml,CEMENTO SUR,2024-08-26,20260405_174124,erp_odoo,1654623.49,20260405_175213
Cemento,478.96,721.87,und,FIRTH,2024-11-06,20260405_174124,erp_odoo,345746.86,20260405_175213
Acero Corrugado,90.27,558.21,ton,CEMENTO SUR,2024-02-28,20260405_174124,erp_odoo,50389.62,20260405_175213
Piedra 3/4,1312.21,130.19,m2,UNACEM,2024-10-02,20260405_174124,erp_odoo,170836.62,20260405_175213
Emulsión,3030.42,129.29,und,EXSA,2024-11-03,20260405_174124,erp_odoo,391803.0,20260405_175213
Acero Corrugado,287.42,94.5,m2,FIRTH,2024-04-04,20260405_174124,erp_odoo,27161.19,20260405_175213
Acero Corrugado,375.45,557.27,und,FIRTH,2024-05-26,20260405_174124,erp_odoo,209227.02,20260405_175213
Acero Corrugado,4779.06,751.7,ton,CONCREMAX,2024-07-16,20260405_174124,erp_odoo,3592419.4,20260405_175213
Tubería HDPE,976.66,686.88,und,YURA,2024-09-04,20260405_174124,erp_odoo,670848.22,20260405_175213
Piedra 3/4,1958.78,711.3,m3,YURA,2024-02-26,20260405_174124,erp_odoo,1393280.21,20260405_175213
Geomalla,68.99,87.57,und,EXSA,2024-10-20,20260405_174124,erp_odoo,6041.45,20260405_175213
Acero Corrugado,3850.43,762.3,und,EXSA,2024-04-28,20260405_174124,erp_odoo,2935182.79,20260405_175213
Geomalla,1552.1,11.56,ml,YURA,2024-12-03,20260405_174124,erp_odoo,17942.28,20260405_175213
Asfalto RC-250,331.87,197.29,ton,CONCREMAX,2024-05-23,20260405_174124,erp_odoo,65474.63,20260405_175213
Tubería HDPE,2677.48,622.22,m3,CEMENTO SUR,2024-06-07,20260405_174124,erp_odoo,1665981.61,20260405_175213
Tubería HDPE,3153.04,56.54,m2,CONCREMAX,2024-05-21,20260405_174124,erp_odoo,178272.88,20260405_175213
Acero Corrugado,899.3,328.1,m2,EXSA,2024-04-19,20260405_174124,erp_odoo,295060.33,20260405_175213
Asfalto RC-250,2594.17,347.89,und,UNACEM,2024-06-02,20260405_174124,erp_odoo,902485.8,20260405_175213
Piedra 3/4,1269.65,14.24,ml,FIRTH,2024-08-24,20260405_174124,erp_odoo,18079.82,20260405_175213
Piedra 3/4,3212.72,168.49,und,EXSA,2024-04-20,20260405_174124,erp_odoo,541311.19,20260405_175213
Tubería HDPE,2208.45,749.78,und,YURA,2024-10-12,20260405_174124,erp_odoo,1655851.64,20260405_175213
Cemento,4723.66,730.22,und,CEMENTO SUR,2024-08-15,20260405_174124,erp_odoo,3449311.01,20260405_175213
Geomalla,2027.11,685.61,und,UNACEM,2024-04-23,20260405_174124,erp_odoo,1389806.89,20260405_175213
Piedra 3/4,327.3,499.36,und,EXSA,2024-06-03,20260405_174124,erp_odoo,163440.53,20260405_175213
Piedra 3/4,1226.7,232.13,m3,CEMENTO SUR,2024-05-12,20260405_174124,erp_odoo,284753.87,20260405_175213
Geomalla,4997.54,632.61,und,EXSA,2024-05-06,20260405_174124,erp_odoo,3161493.78,20260405_175213
Arena Gruesa,4762.54,454.66,und,CONCREMAX,2024-07-21,20260405_174124,erp_odoo,2165336.44,20260405_175213
Tubería HDPE,3169.48,493.78,m2,UNACEM,2024-07-02,20260405_174124,erp_odoo,1565025.83,20260405_175213
Acero Corrugado,1482.8,555.23,ton,EXSA,2024-02-27,20260405_174124,erp_odoo,823295.04,20260405_175213
Emulsión,497.48,478.96,ton,YURA,2024-04-30,20260405_174124,erp_odoo,238273.02,20260405_175213
Piedra 3/4,3621.46,393.6,m2,YURA,2024-07-12,20260405_174124,erp_odoo,1425406.66,20260405_175213
Acero Corrugado,4887.96,585.38,und,UNACEM,2024-05-20,20260405_174124,erp_odoo,2861314.02,20260405_175213
Arena Gruesa,3814.3,543.6,und,EXSA,2024-10-20,20260405_174124,erp_odoo,2073453.48,20260405_175213
Cemento,1212.83,281.62,und,UNACEM,2024-01-18,20260405_174124,erp_odoo,341557.18,20260405_175213
Cemento,3677.47,438.07,ml,EXSA,2024-11-24,20260405_174124,erp_odoo,1610989.28,20260405_175213
Piedra 3/4,1794.8,316.16,und,FIRTH,2024-09-28,20260405_174124,erp_odoo,567443.97,20260405_175213
Piedra 3/4,702.22,172.68,m2,CONCREMAX,2024-01-26,20260405_174124,erp_odoo,121259.35,20260405_175213
Acero Corrugado,4259.06,631.01,m3,FIRTH,2024-05-12,20260405_174124,erp_odoo,2687509.45,20260405_175213
Asfalto RC-250,1334.02,36.45,ml,CEMENTO SUR,2024-01-24,20260405_174124,erp_odoo,48625.03,20260405_175213
Acero Corrugado,2847.74,499.68,ton,CONCREMAX,2024-01-30,20260405_174124,erp_odoo,1422958.72,20260405_175213
Asfalto RC-250,3559.66,92.26,ton,YURA,2024-07-31,20260405_174124,erp_odoo,328414.23,20260405_175213
Cemento,3038.13,149.09,ml,YURA,2024-09-01,20260405_174124,erp_odoo,452954.8,20260405_175213
Asfalto RC-250,4215.46,788.41,und,EXSA,2024-11-28,20260405_174124,erp_odoo,3323510.82,20260405_175213
Arena Gruesa,210.43,47.35,und,CEMENTO SUR,2024-04-26,20260405_174124,erp_odoo,9963.86,20260405_175213
Cemento,1172.93,246.5,m2,FIRTH,2024-06-10,20260405_174124,erp_odoo,289127.24,20260405_175213
Emulsión,679.32,118.5,m2,EXSA,2024-01-17,20260405_174124,erp_odoo,80499.42,20260405_175213
Arena Gruesa,2802.33,405.39,m3,UNACEM,2024-02-07,20260405_174124,erp_odoo,1136036.56,20260405_175213
Tubería HDPE,3343.21,36.52,ton,CONCREMAX,2024-05-11,20260405_174124,erp_odoo,122094.03,20260405_175213
Emulsión,1294.57,775.05,m2,UNACEM,2024-05-15,20260405_174124,erp_odoo,1003356.48,20260405_175213
Asfalto RC-250,1928.84,682.26,m3,CEMENTO SUR,2024-11-01,20260405_174124,erp_odoo,1315970.38,20260405_175213
Asfalto RC-250,2273.44,483.8,und,CEMENTO SUR,2024-03-12,20260405_174124,erp_odoo,1099890.27,20260405_175213
Emulsión,3970.06,706.89,ml,UNACEM,2024-11-16,20260405_174124,erp_odoo,2806395.71,20260405_175213
Emulsión,4606.67,68.23,und,CONCREMAX,2024-01-02,20260405_174124,erp_odoo,314313.09,20260405_175213
Piedra 3/4,1077.68,128.25,und,EXSA,2024-03-03,20260405_174124,erp_odoo,138212.46,20260405_175213
Geomalla,4783.58,352.2,und,FIRTH,2024-03-23,20260405_174124,erp_odoo,1684776.88,20260405_175213
Piedra 3/4,4098.41,415.37,ml,CEMENTO SUR,2024-12-08,20260405_174124,erp_odoo,1702356.56,20260405_175213
Emulsión,4710.3,474.32,und,CEMENTO SUR,2024-03-21,20260405_174124,erp_odoo,2234189.5,20260405_175213
Arena Gruesa,801.64,179.13,und,CEMENTO SUR,2024-10-11,20260405_174124,erp_odoo,143597.77,20260405_175213
Emulsión,3269.54,799.23,ton,EXSA,2024-01-25,20260405_174124,erp_odoo,2613114.45,20260405_175213
Arena Gruesa,268.62,485.33,m2,FIRTH,2024-07-09,20260405_174124,erp_odoo,130369.34,20260405_175213
Cemento,4814.38,181.99,m2,YURA,2024-05-21,20260405_174124,erp_odoo,876169.02,20260405_175213
Acero Corrugado,1277.57,790.5,m3,FIRTH,2024-01-31,20260405_174124,erp_odoo,1009919.08,20260405_175213
Piedra 3/4,2449.2,227.34,m2,FIRTH,2024-03-14,20260405_174124,erp_odoo,556801.13,20260405_175213
Cemento,3650.41,771.24,m2,UNACEM,2024-03-26,20260405_174124,erp_odoo,2815342.21,20260405_175213
Geomalla,3279.09,558.33,ml,CEMENTO SUR,2024-10-07,20260405_174124,erp_odoo,1830814.32,20260405_175213
Asfalto RC-250,4572.51,669.77,und,EXSA,2024-05-12,20260405_174124,erp_odoo,3062530.02,20260405_175213
Geomalla,1088.57,489.17,ton,EXSA,2024-06-02,20260405_174124,erp_odoo,532495.79,20260405_175213
Tubería HDPE,2616.34,204.34,ton,YURA,2024-12-22,20260405_174124,erp_odoo,534622.92,20260405_175213
Acero Corrugado,2721.76,225.64,und,YURA,2024-01-05,20260405_174124,erp_odoo,614137.93,20260405_175213
Geomalla,1375.46,554.91,ml,CEMENTO SUR,2024-04-16,20260405_174124,erp_odoo,763256.51,20260405_175213
Geomalla,4014.28,698.57,m2,UNACEM,2024-01-20,20260405_174124,erp_odoo,2804255.58,20260405_175213
Piedra 3/4,442.14,456.74,m2,UNACEM,2024-07-12,20260405_174124,erp_odoo,201943.02,20260405_175213
Cemento,3488.58,82.02,m2,CONCREMAX,2024-02-20,20260405_174124,erp_odoo,286133.33,20260405_175213
Geomalla,4222.38,519.66,m3,CEMENTO SUR,2024-05-18,20260405_174124,erp_odoo,2194201.99,20260405_175213
Emulsión,1334.17,624.79,und,UNACEM,2024-07-24,20260405_174124,erp_odoo,833576.07,20260405_175213
Piedra 3/4,19.36,32.84,ton,CEMENTO SUR,2024-08-29,20260405_174124,erp_odoo,635.78,20260405_175213
Emulsión,3801.55,796.34,und,FIRTH,2024-06-05,20260405_174124,erp_odoo,3027326.33,20260405_175213
Acero Corrugado,2718.61,516.33,ml,CEMENTO SUR,2024-09-08,20260405_174124,erp_odoo,1403699.9,20260405_175213
Cemento,3230.29,104.34,ton,CEMENTO SUR,2024-10-06,20260405_174124,erp_odoo,337048.46,20260405_175213
Geomalla,2481.28,776.13,m3,UNACEM,2024-02-04,20260405_174124,erp_odoo,1925795.85,20260405_175213
Piedra 3/4,2927.51,6.22,m2,FIRTH,2024-04-14,20260405_174124,erp_odoo,18209.11,20260405_175213
Acero Corrugado,989.24,453.83,und,YURA,2024-07-27,20260405_174124,erp_odoo,448946.79,20260405_175213
Acero Corrugado,1923.94,662.29,und,EXSA,2024-09-23,20260405_174124,erp_odoo,1274206.22,20260405_175213
Tubería HDPE,4898.18,26.89,und,CEMENTO SUR,2024-01-09,20260405_174124,erp_odoo,131712.06,20260405_175213
Emulsión,659.89,555.3,und,YURA,2024-10-19,20260405_174124,erp_odoo,366436.92,20260405_175213
Acero Corrugado,2963.54,389.11,ml,UNACEM,2024-12-08,20260405_174124,erp_odoo,1153143.05,20260405_175213
Asfalto RC-250,476.49,33.12,und,CONCREMAX,2024-09-26,20260405_174124,erp_odoo,15781.35,20260405_175213
Acero Corrugado,1037.17,703.81,und,YURA,2024-01-21,20260405_174124,erp_odoo,729970.62,20260405_175213
Cemento,1407.78,799.03,ton,CEMENTO SUR,2024-04-18,20260405_174124,erp_odoo,1124858.45,20260405_175213
Acero Corrugado,4965.07,119.6,und,YURA,2024-04-08,20260405_174124,erp_odoo,593822.37,20260405_175213
Piedra 3/4,1928.31,731.1,ton,FIRTH,2024-10-08,20260405_174124,erp_odoo,1409787.44,20260405_175213
Emulsión,3758.4,348.47,und,FIRTH,2024-03-31,20260405_174124,erp_odoo,1309689.65,20260405_175213
Tubería HDPE,735.34,20.71,und,CEMENTO SUR,2024-09-19,20260405_174124,erp_odoo,15228.89,20260405_175213
Geomalla,2192.31,518.35,m3,FIRTH,2024-04-03,20260405_174124,erp_odoo,1136383.89,20260405_175213
Acero Corrugado,1109.43,432.46,ton,UNACEM,2024-11-21,20260405_174124,erp_odoo,479784.1,20260405_175213
Tubería HDPE,2734.32,778.39,ton,CONCREMAX,2024-11-11,20260405_174124,erp_odoo,2128367.34,20260405_175213
Tubería HDPE,1454.02,694.61,und,CEMENTO SUR,2024-08-21,20260405_174124,erp_odoo,1009976.83,20260405_175213
Piedra 3/4,2835.59,522.21,m2,CONCREMAX,2024-05-17,20260405_174124,erp_odoo,1480773.45,20260405_175213
Emulsión,2789.08,365.89,m3,CONCREMAX,2024-06-01,20260405_174124,erp_odoo,1020496.48,20260405_175213
Cemento,2188.36,604.37,m2,CEMENTO SUR,2024-02-20,20260405_174124,erp_odoo,1322579.13,20260405_175213
Cemento,51.72,512.34,und,FIRTH,2024-04-07,20260405_174124,erp_odoo,26498.22,20260405_175213
Cemento,2324.08,241.87,m3,FIRTH,2024-04-27,20260405_174124,erp_odoo,562125.23,20260405_175213
Piedra 3/4,2431.43,776.61,und,YURA,2024-03-29,20260405_174124,erp_odoo,1888272.85,20260405_175213
Geomalla,4235.41,648.49,m3,CEMENTO SUR,2024-03-04,20260405_174124,erp_odoo,2746621.03,20260405_175213
Tubería HDPE,3118.95,440.03,ton,CEMENTO SUR,2024-03-27,20260405_174124,erp_odoo,1372431.57,20260405_175213
Acero Corrugado,4187.33,695.29,m3,CEMENTO SUR,2024-09-08,20260405_174124,erp_odoo,2911408.68,20260405_175213
Piedra 3/4,1809.79,570.5,und,CEMENTO SUR,2024-11-11,20260405_174124,erp_odoo,1032485.2,20260405_175213
Emulsión,2126.9,658.01,m2,EXSA,2024-11-28,20260405_174124,erp_odoo,1399521.47,20260405_175213
Acero Corrugado,2908.52,498.07,m3,CONCREMAX,2024-05-11,20260405_174124,erp_odoo,1448646.56,20260405_175213
Acero Corrugado,247.82,482.92,und,CONCREMAX,2024-11-16,20260405_174124,erp_odoo,119677.23,20260405_175213
Geomalla,3583.64,426.6,und,FIRTH,2024-08-02,20260405_174124,erp_odoo,1528780.82,20260405_175213
Tubería HDPE,2576.61,561.54,ml,UNACEM,2024-08-29,20260405_174124,erp_odoo,1446869.58,20260405_175213
Arena Gruesa,883.01,699.34,ton,YURA,2024-11-19,20260405_174124,erp_odoo,617524.21,20260405_175213
Piedra 3/4,2840.91,179.26,ml,YURA,2024-04-12,20260405_174124,erp_odoo,509261.53,20260405_175213
Asfalto RC-250,3753.33,171.43,und,UNACEM,2024-03-31,20260405_174124,erp_odoo,643433.36,20260405_175213
Arena Gruesa,2614.43,621.74,ton,YURA,2024-04-09,20260405_174124,erp_odoo,1625495.71,20260405_175213
Piedra 3/4,3970.95,66.21,m3,EXSA,2024-08-19,20260405_174124,erp_odoo,262916.6,20260405_175213
Piedra 3/4,4173.8,365.89,ton,UNACEM,2024-01-30,20260405_174124,erp_odoo,1527151.68,20260405_175213
Tubería HDPE,1575.87,217.03,m2,UNACEM,2024-08-24,20260405_174124,erp_odoo,342011.07,20260405_175213
Geomalla,4309.47,289.6,ml,CONCREMAX,2024-02-28,20260405_174124,erp_odoo,1248022.51,20260405_175213
Asfalto RC-250,2309.33,163.65,m3,CONCREMAX,2024-03-16,20260405_174124,erp_odoo,377921.85,20260405_175213
Piedra 3/4,4390.17,205.29,m3,UNACEM,2024-07-28,20260405_174124,erp_odoo,901258.0,20260405_175213
Geomalla,2711.28,517.22,ton,CONCREMAX,2024-05-14,20260405_174124,erp_odoo,1402328.24,20260405_175213
Piedra 3/4,4581.74,425.82,ml,EXSA,2024-10-02,20260405_174124,erp_odoo,1950996.53,20260405_175213
Acero Corrugado,2164.53,383.1,ml,CEMENTO SUR,2024-06-25,20260405_174124,erp_odoo,829231.44,20260405_175213
Emulsión,4246.06,37.39,m3,UNACEM,2024-11-29,20260405_174124,erp_odoo,158760.18,20260405_175213
Arena Gruesa,1273.68,185.96,und,FIRTH,2024-08-12,20260405_174124,erp_odoo,236853.53,20260405_175213
Cemento,3426.82,283.84,m3,CEMENTO SUR,2024-10-06,20260405_174124,erp_odoo,972668.59,20260405_175213
