material,cantidad,precio_unitario,unidad,proveedor,fecha_pedido,_ingested_at,_source
Tubería HDPE,3356.65,280.25,,EXSA,2024-12-14,20260405_232605,erp_odoo
Tubería HDPE,101.58,612.9,m2,UNACEM,2024-05-07,20260405_232605,erp_odoo
Acero Corrugado,3103.51,796.53,m2,UNACEM,2024-01-30,20260405_232605,erp_odoo
Acero Corrugado,,322.1,ton,CEMENTO SUR,2024-02-01,20260405_232605,erp_odoo
Piedra 3/4,3168.59,681.6,ton,CEMENTO SUR,2024-01-13,20260405_232605,erp_odoo
Acero Corrugado,294.09,716.83,m2,CONCREMAX,2024-05-22,20260405_232605,erp_odoo
Asfalto RC-250,2399.76,699.93,m3,CONCREMAX,2024-06-22,20260405_232605,erp_odoo
Tubería HDPE,3152.3,454.11,,EXSA,2024-03-13,20260405_232605,erp_odoo
Arena Gruesa,68.13,55.98,ml,EXSA,2024-12-24,20260405_232605,erp_odoo
Acero Corrugado,3924.68,56.71,ml,CONCREMAX,2024-08-12,20260405_232605,erp_odoo
Emulsión,2077.27,425.11,m2,YURA,2024-06-27,20260405_232605,erp_odoo
Cemento,118.16,542.49,m2,FIRTH,2024-06-18,20260405_232605,erp_odoo
Asfalto RC-250,3571.63,625.72,und,EXSA,2024-07-13,20260405_232605,erp_odoo
Emulsión,1926.59,25.08,,FIRTH,2024-02-11,20260405_232605,erp_odoo
Piedra 3/4,1953.36,507.02,m3,FIRTH,2024-10-27,20260405_232605,erp_odoo
Cemento,2957.42,760.06,ml,CEMENTO SUR,2024-01-04,20260405_232605,erp_odoo
Cemento,2332.96,391.31,ton,EXSA,2024-05-21,20260405_232605,erp_odoo
Piedra 3/4,1458.2,135.76,und,YURA,2024-09-01,20260405_232605,erp_odoo
Asfalto RC-250,1844.2,718.88,ml,CONCREMAX,2024-06-25,20260405_232605,erp_odoo
Acero Corrugado,240.14,31.09,ton,EXSA,2024-09-06,20260405_232605,erp_odoo
Arena Gruesa,1404.15,340.56,ton,UNACEM,2024-06-16,20260405_232605,erp_odoo
Tubería HDPE,3877.97,757.8,m3,FIRTH,2024-02-16,20260405_232605,erp_odoo
Tubería HDPE,1104.59,503.96,m2,CONCREMAX,2024-11-27,20260405_232605,erp_odoo
Arena Gruesa,3899.37,406.12,,CONCREMAX,2024-07-19,20260405_232605,erp_odoo
Arena Gruesa,1352.14,765.97,m2,CONCREMAX,2024-09-26,20260405_232605,erp_odoo
Cemento,1143.05,516.76,ton,CONCREMAX,2024-05-20,20260405_232605,erp_odoo
Piedra 3/4,903.28,744.03,und,UNACEM,2024-11-23,20260405_232605,erp_odoo
Cemento,3063.59,35.82,m2,EXSA,2024-11-01,20260405_232605,erp_odoo
Asfalto RC-250,4759.09,320.6,ton,CEMENTO SUR,2024-05-01,20260405_232605,erp_odoo
Arena Gruesa,1515.33,668.2,ton,UNACEM,2024-03-30,20260405_232605,erp_odoo
Cemento,217.39,467.9,m2,CONCREMAX,2024-03-11,20260405_232605,erp_odoo
Tubería HDPE,2694.48,263.23,ton,CONCREMAX,2024-08-26,20260405_232605,erp_odoo
Acero Corrugado,1816.35,533.07,ml,CEMENTO SUR,2024-05-17,20260405_232605,erp_odoo
Piedra 3/4,3002.98,442.1,und,EXSA,2024-12-20,20260405_232605,erp_odoo
Tubería HDPE,565.15,88.7,,YURA,2024-10-11,20260405_232605,erp_odoo
Asfalto RC-250,2225.94,778.53,ton,EXSA,2024-02-04,20260405_232605,erp_odoo
Arena Gruesa,4539.33,317.48,ml,EXSA,2024-03-16,20260405_232605,erp_odoo
Geomalla,259.53,292.01,m2,YURA,2024-06-30,20260405_232605,erp_odoo
Arena Gruesa,832.98,502.39,,CEMENTO SUR,2024-08-29,20260405_232605,erp_odoo
Geomalla,2006.58,324.19,m2,YURA,2024-04-22,20260405_232605,erp_odoo
Geomalla,3318.01,80.02,ton,YURA,2024-05-29,20260405_232605,erp_odoo
Piedra 3/4,499.52,251.16,,EXSA,2024-02-07,20260405_232605,erp_odoo
Arena Gruesa,1573.43,425.09,m3,FIRTH,2024-01-03,20260405_232605,erp_odoo
Geomalla,4076.37,23.18,und,EXSA,2024-10-08,20260405_232605,erp_odoo
Cemento,828.4,293.97,m3,EXSA,2024-11-15,20260405_232605,erp_odoo
Cemento,62.41,337.08,und,CEMENTO SUR,2024-11-22,20260405_232605,erp_odoo
Arena Gruesa,2635.31,542.23,m2,YURA,2024-06-17,20260405_232605,erp_odoo
Asfalto RC-250,1020.41,605.26,m3,UNACEM,2024-06-15,20260405_232605,erp_odoo
Acero Corrugado,687.48,756.41,und,YURA,2024-08-27,20260405_232605,erp_odoo
Geomalla,1547.45,276.56,und,FIRTH,2024-04-26,20260405_232605,erp_odoo
Emulsión,680.88,368.21,m2,YURA,2024-05-11,20260405_232605,erp_odoo
Emulsión,3899.71,406.39,m2,EXSA,2024-08-12,20260405_232605,erp_odoo
Asfalto RC-250,4140.92,185.99,,YURA,2024-06-25,20260405_232605,erp_odoo
Geomalla,1361.93,362.09,ml,YURA,2024-05-01,20260405_232605,erp_odoo
Acero Corrugado,3991.14,195.26,ml,CEMENTO SUR,2024-11-09,20260405_232605,erp_odoo
Emulsión,2211.39,581.16,m3,CEMENTO SUR,2024-10-05,20260405_232605,erp_odoo
Acero Corrugado,4959.28,537.3,ml,UNACEM,2024-11-04,20260405_232605,erp_odoo
Tubería HDPE,2906.16,645.51,ml,FIRTH,2024-07-29,20260405_232605,erp_odoo
Tubería HDPE,2998.28,709.28,und,CEMENTO SUR,2024-03-03,20260405_232605,erp_odoo
Piedra 3/4,3017.04,653.62,m3,UNACEM,2024-04-28,20260405_232605,erp_odoo
Tubería HDPE,4397.72,50.28,,CONCREMAX,2024-10-21,20260405_232605,erp_odoo
Geomalla,4932.41,312.51,m3,UNACEM,2024-07-16,20260405_232605,erp_odoo
Emulsión,3590.15,330.99,ml,UNACEM,2024-11-04,20260405_232605,erp_odoo
Emulsión,1455.23,473.88,ton,CEMENTO SUR,2024-09-27,20260405_232605,erp_odoo
Piedra 3/4,4178.22,95.01,ton,CONCREMAX,2024-09-12,20260405_232605,erp_odoo
Arena Gruesa,1720.12,562.52,m2,CEMENTO SUR,2024-08-30,20260405_232605,erp_odoo
Asfalto RC-250,1229.69,663.56,,CONCREMAX,2024-09-12,20260405_232605,erp_odoo
Acero Corrugado,4471.71,485.09,ml,YURA,2024-11-02,20260405_232605,erp_odoo
Cemento,2458.25,673.09,ml,CEMENTO SUR,2024-08-26,20260405_232605,erp_odoo
Cemento,478.96,721.87,und,FIRTH,2024-11-06,20260405_232605,erp_odoo
Acero Corrugado,90.27,558.21,ton,CEMENTO SUR,2024-02-28,20260405_232605,erp_odoo
Piedra 3/4,1312.21,130.19,m2,UNACEM,2024-10-02,20260405_232605,erp_odoo
Emulsión,3030.42,129.29,und,EXSA,2024-11-03,20260405_232605,erp_odoo
Acero Corrugado,287.42,94.5,m2,FIRTH,2024-04-04,20260405_232605,erp_odoo
Acero Corrugado,375.45,557.27,und,FIRTH,2024-05-26,20260405_232605,erp_odoo
Acero Corrugado,4779.06,751.7,ton,CONCREMAX,2024-07-16,20260405_232605,erp_odoo
Tubería HDPE,976.66,686.88,,YURA,2024-09-04,20260405_232605,erp_odoo
Piedra 3/4,1958.78,711.3,m3,YURA,2024-02-26,20260405_232605,erp_odoo
Geomalla,68.99,87.57,und,EXSA,2024-10-20,20260405_232605,erp_odoo
Acero Corrugado,3850.43,762.3,und,EXSA,2024-04-28,20260405_232605,erp_odoo
Geomalla,1552.1,11.56,ml,YURA,2024-12-03,20260405_232605,erp_odoo
Asfalto RC-250,331.87,197.29,ton,CONCREMAX,2024-05-23,20260405_232605,erp_odoo
Tubería HDPE,2677.48,622.22,m3,CEMENTO SUR,2024-06-07,20260405_232605,erp_odoo
Tubería HDPE,3153.04,56.54,m2,CONCREMAX,2024-05-21,20260405_232605,erp_odoo
Acero Corrugado,899.3,328.1,m2,EXSA,2024-04-19,20260405_232605,erp_odoo
Asfalto RC-250,2594.17,347.89,,UNACEM,2024-06-02,20260405_232605,erp_odoo
Piedra 3/4,1269.65,14.24,ml,FIRTH,2024-08-24,20260405_232605,erp_odoo
Piedra 3/4,3212.72,168.49,,EXSA,2024-04-20,20260405_232605,erp_odoo
Tubería HDPE,2208.45,749.78,und,YURA,2024-10-12,20260405_232605,erp_odoo
Cemento,4723.66,730.22,und,CEMENTO SUR,2024-08-15,20260405_232605,erp_odoo
Geomalla,2027.11,685.61,,UNACEM,2024-04-23,20260405_232605,erp_odoo
Piedra 3/4,327.3,499.36,und,EXSA,2024-06-03,20260405_232605,erp_odoo
Piedra 3/4,1226.7,232.13,m3,CEMENTO SUR,2024-05-12,20260405_232605,erp_odoo
Geomalla,4997.54,632.61,,EXSA,2024-05-06,20260405_232605,erp_odoo
Arena Gruesa,4762.54,454.66,und,CONCREMAX,2024-07-21,20260405_232605,erp_odoo
Tubería HDPE,3169.48,493.78,m2,UNACEM,2024-07-02,20260405_232605,erp_odoo
Acero Corrugado,1482.8,555.23,ton,EXSA,2024-02-27,20260405_232605,erp_odoo
Emulsión,497.48,478.96,ton,YURA,2024-04-30,20260405_232605,erp_odoo
Piedra 3/4,3621.46,393.6,m2,YURA,2024-07-12,20260405_232605,erp_odoo
Acero Corrugado,4887.96,585.38,und,UNACEM,2024-05-20,20260405_232605,erp_odoo
Arena Gruesa,3814.3,543.6,und,EXSA,2024-10-20,20260405_232605,erp_odoo
Cemento,1212.83,281.62,und,UNACEM,2024-01-18,20260405_232605,erp_odoo
Cemento,3677.47,438.07,ml,EXSA,2024-11-24,20260405_232605,erp_odoo
Piedra 3/4,1794.8,316.16,,FIRTH,2024-09-28,20260405_232605,erp_odoo
Piedra 3/4,702.22,172.68,m2,CONCREMAX,2024-01-26,20260405_232605,erp_odoo
Acero Corrugado,4259.06,631.01,m3,FIRTH,2024-05-12,20260405_232605,erp_odoo
Asfalto RC-250,1334.02,36.45,ml,CEMENTO SUR,2024-01-24,20260405_232605,erp_odoo
Acero Corrugado,2847.74,499.68,ton,CONCREMAX,2024-01-30,20260405_232605,erp_odoo
Asfalto RC-250,3559.66,92.26,ton,YURA,2024-07-31,20260405_232605,erp_odoo
Cemento,3038.13,149.09,ml,YURA,2024-09-01,20260405_232605,erp_odoo
Asfalto RC-250,4215.46,788.41,,EXSA,2024-11-28,20260405_232605,erp_odoo
Arena Gruesa,210.43,47.35,und,CEMENTO SUR,2024-04-26,20260405_232605,erp_odoo
Cemento,1172.93,246.5,m2,FIRTH,2024-06-10,20260405_232605,erp_odoo
Emulsión,679.32,118.5,m2,EXSA,2024-01-17,20260405_232605,erp_odoo
Arena Gruesa,2802.33,405.39,m3,UNACEM,2024-02-07,20260405_232605,erp_odoo
Tubería HDPE,3343.21,36.52,ton,CONCREMAX,2024-05-11,20260405_232605,erp_odoo
Emulsión,1294.57,775.05,m2,UNACEM,2024-05-15,20260405_232605,erp_odoo
Asfalto RC-250,1928.84,682.26,m3,CEMENTO SUR,2024-11-01,20260405_232605,erp_odoo
Asfalto RC-250,2273.44,483.8,,CEMENTO SUR,2024-03-12,20260405_232605,erp_odoo
Emulsión,3970.06,706.89,ml,UNACEM,2024-11-16,20260405_232605,erp_odoo
Emulsión,4606.67,68.23,,CONCREMAX,2024-01-02,20260405_232605,erp_odoo
Piedra 3/4,1077.68,128.25,und,EXSA,2024-03-03,20260405_232605,erp_odoo
Geomalla,4783.58,352.2,und,FIRTH,2024-03-23,20260405_232605,erp_odoo
Piedra 3/4,4098.41,415.37,ml,CEMENTO SUR,2024-12-08,20260405_232605,erp_odoo
Emulsión,4710.3,474.32,und,CEMENTO SUR,2024-03-21,20260405_232605,erp_odoo
Arena Gruesa,801.64,179.13,,CEMENTO SUR,2024-10-11,20260405_232605,erp_odoo
Emulsión,3269.54,799.23,ton,EXSA,2024-01-25,20260405_232605,erp_odoo
Arena Gruesa,268.62,485.33,m2,FIRTH,2024-07-09,20260405_232605,erp_odoo
Asfalto RC-250,,707.7,ml,YURA,2024-12-14,20260405_232605,erp_odoo
Cemento,4814.38,181.99,m2,YURA,2024-05-21,20260405_232605,erp_odoo
Acero Corrugado,1277.57,790.5,m3,FIRTH,2024-01-31,20260405_232605,erp_odoo
Piedra 3/4,2449.2,227.34,m2,FIRTH,2024-03-14,20260405_232605,erp_odoo
Cemento,3650.41,771.24,m2,UNACEM,2024-03-26,20260405_232605,erp_odoo
Geomalla,3279.09,558.33,ml,CEMENTO SUR,2024-10-07,20260405_232605,erp_odoo
Asfalto RC-250,4572.51,669.77,und,EXSA,2024-05-12,20260405_232605,erp_odoo
Geomalla,1088.57,489.17,ton,EXSA,2024-06-02,20260405_232605,erp_odoo
Tubería HDPE,2616.34,204.34,ton,YURA,2024-12-22,20260405_232605,erp_odoo
Acero Corrugado,2721.76,225.64,,YURA,2024-01-05,20260405_232605,erp_odoo
Geomalla,1375.46,554.91,ml,CEMENTO SUR,2024-04-16,20260405_232605,erp_odoo
Geomalla,4014.28,698.57,m2,UNACEM,2024-01-20,20260405_232605,erp_odoo
Piedra 3/4,442.14,456.74,m2,UNACEM,2024-07-12,20260405_232605,erp_odoo
Cemento,3488.58,82.02,m2,CONCREMAX,2024-02-20,20260405_232605,erp_odoo
Geomalla,4222.38,519.66,m3,CEMENTO SUR,2024-05-18,20260405_232605,erp_odoo
Emulsión,1334.17,624.79,und,UNACEM,2024-07-24,20260405_232605,erp_odoo
Piedra 3/4,19.36,32.84,ton,CEMENTO SUR,2024-08-29,20260405_232605,erp_odoo
Emulsión,3801.55,796.34,,FIRTH,2024-06-05,20260405_232605,erp_odoo
Acero Corrugado,2718.61,516.33,ml,CEMENTO SUR,2024-09-08,20260405_232605,erp_odoo
Cemento,3230.29,104.34,ton,CEMENTO SUR,2024-10-06,20260405_232605,erp_odoo
Geomalla,2481.28,776.13,m3,UNACEM,2024-02-04,20260405_232605,erp_odoo
Piedra 3/4,2927.51,6.22,m2,FIRTH,2024-04-14,20260405_232605,erp_odoo
Acero Corrugado,989.24,453.83,,YURA,2024-07-27,20260405_232605,erp_odoo
Acero Corrugado,1923.94,662.29,,EXSA,2024-09-23,20260405_232605,erp_odoo
Tubería HDPE,4898.18,26.89,,CEMENTO SUR,2024-01-09,20260405_232605,erp_odoo
Emulsión,659.89,555.3,,YURA,2024-10-19,20260405_232605,erp_odoo
Cemento,,789.11,ton,CEMENTO SUR,2024-06-25,20260405_232605,erp_odoo
Acero Corrugado,2963.54,389.11,ml,UNACEM,2024-12-08,20260405_232605,erp_odoo
Asfalto RC-250,476.49,33.12,und,CONCREMAX,2024-09-26,20260405_232605,erp_odoo
Acero Corrugado,1037.17,703.81,,YURA,2024-01-21,20260405_232605,erp_odoo
Cemento,1407.78,799.03,ton,CEMENTO SUR,2024-04-18,20260405_232605,erp_odoo
Acero Corrugado,4965.07,119.6,,YURA,2024-04-08,20260405_232605,erp_odoo
Piedra 3/4,1928.31,731.1,ton,FIRTH,2024-10-08,20260405_232605,erp_odoo
Emulsión,3758.4,348.47,,FIRTH,2024-03-31,20260405_232605,erp_odoo
Tubería HDPE,735.34,20.71,,CEMENTO SUR,2024-09-19,20260405_232605,erp_odoo
Geomalla,2192.31,518.35,m3,FIRTH,2024-04-03,20260405_232605,erp_odoo
Acero Corrugado,1109.43,432.46,ton,UNACEM,2024-11-21,20260405_232605,erp_odoo
Tubería HDPE,2734.32,778.39,ton,CONCREMAX,2024-11-11,20260405_232605,erp_odoo
Tubería HDPE,1454.02,694.61,,CEMENTO SUR,2024-08-21,20260405_232605,erp_odoo
Piedra 3/4,2835.59,522.21,m2,CONCREMAX,2024-05-17,20260405_232605,erp_odoo
Emulsión,2789.08,365.89,m3,CONCREMAX,2024-06-01,20260405_232605,erp_odoo
Cemento,2188.36,604.37,m2,CEMENTO SUR,2024-02-20,20260405_232605,erp_odoo
Cemento,51.72,512.34,und,FIRTH,2024-04-07,20260405_232605,erp_odoo
Cemento,2324.08,241.87,m3,FIRTH,2024-04-27,20260405_232605,erp_odoo
Piedra 3/4,2431.43,776.61,und,YURA,2024-03-29,20260405_232605,erp_odoo
Geomalla,4235.41,648.49,m3,CEMENTO SUR,2024-03-04,20260405_232605,erp_odoo
Tubería HDPE,3118.95,440.03,ton,CEMENTO SUR,2024-03-27,20260405_232605,erp_odoo
Acero Corrugado,4187.33,695.29,m3,CEMENTO SUR,2024-09-08,20260405_232605,erp_odoo
Piedra 3/4,1809.79,570.5,,CEMENTO SUR,2024-11-11,20260405_232605,erp_odoo
Emulsión,2126.9,658.01,m2,EXSA,2024-11-28,20260405_232605,erp_odoo
Acero Corrugado,2908.52,498.07,m3,CONCREMAX,2024-05-11,20260405_232605,erp_odoo
Acero Corrugado,247.82,482.92,,CONCREMAX,2024-11-16,20260405_232605,erp_odoo
Geomalla,3583.64,426.6,,FIRTH,2024-08-02,20260405_232605,erp_odoo
Tubería HDPE,2576.61,561.54,ml,UNACEM,2024-08-29,20260405_232605,erp_odoo
Arena Gruesa,883.01,699.34,ton,YURA,2024-11-19,20260405_232605,erp_odoo
Piedra 3/4,2840.91,179.26,ml,YURA,2024-04-12,20260405_232605,erp_odoo
Asfalto RC-250,3753.33,171.43,und,UNACEM,2024-03-31,20260405_232605,erp_odoo
Arena Gruesa,2614.43,621.74,ton,YURA,2024-04-09,20260405_232605,erp_odoo
Piedra 3/4,3970.95,66.21,m3,EXSA,2024-08-19,20260405_232605,erp_odoo
Piedra 3/4,4173.8,365.89,ton,UNACEM,2024-01-30,20260405_232605,erp_odoo
Tubería HDPE,1575.87,217.03,m2,UNACEM,2024-08-24,20260405_232605,erp_odoo
Geomalla,4309.47,289.6,ml,CONCREMAX,2024-02-28,20260405_232605,erp_odoo
Asfalto RC-250,2309.33,163.65,m3,CONCREMAX,2024-03-16,20260405_232605,erp_odoo
Piedra 3/4,4390.17,205.29,m3,UNACEM,2024-07-28,20260405_232605,erp_odoo
Geomalla,2711.28,517.22,ton,CONCREMAX,2024-05-14,20260405_232605,erp_odoo
Cemento,,356.36,,CONCREMAX,2024-09-30,20260405_232605,erp_odoo
Piedra 3/4,4581.74,425.82,ml,EXSA,2024-10-02,20260405_232605,erp_odoo
Acero Corrugado,2164.53,383.1,ml,CEMENTO SUR,2024-06-25,20260405_232605,erp_odoo
Emulsión,4246.06,37.39,m3,UNACEM,2024-11-29,20260405_232605,erp_odoo
Arena Gruesa,1273.68,185.96,,FIRTH,2024-08-12,20260405_232605,erp_odoo
Cemento,3426.82,283.84,m3,CEMENTO SUR,2024-10-06,20260405_232605,erp_odoo
Geomalla,1018.47,450.92,m2,UNACEM,2024-07-01,20260405_232605,erp_odoo
Emulsión,4918.29,394.68,m2,CONCREMAX,2024-10-20,20260405_232605,erp_odoo
Acero Corrugado,1773.23,207.15,ton,FIRTH,2024-08-30,20260405_232605,erp_odoo
Cemento,4125.52,308.18,m3,CONCREMAX,2024-11-13,20260405_232605,erp_odoo
Asfalto RC-250,1206.25,644.73,m2,UNACEM,2024-03-19,20260405_232605,erp_odoo
Emulsión,4028.39,553.88,m2,UNACEM,2024-10-14,20260405_232605,erp_odoo
Arena Gruesa,3591.13,373.18,und,EXSA,2024-11-18,20260405_232605,erp_odoo
Arena Gruesa,4988.25,50.85,und,YURA,2024-06-07,20260405_232605,erp_odoo
Piedra 3/4,2769.83,455.82,m2,UNACEM,2024-03-27,20260405_232605,erp_odoo
Cemento,3796.16,397.65,m3,YURA,2024-07-25,20260405_232605,erp_odoo
Asfalto RC-250,4641.8,18.41,ml,CEMENTO SUR,2024-04-19,20260405_232605,erp_odoo
Emulsión,415.86,519.82,m2,YURA,2024-09-12,20260405_232605,erp_odoo
Emulsión,423.03,546.31,m3,UNACEM,2024-09-06,20260405_232605,erp_odoo
Arena Gruesa,962.63,277.95,ml,UNACEM,2024-10-18,20260405_232605,erp_odoo
Emulsión,4661.31,220.23,ton,UNACEM,2024-04-29,20260405_232605,erp_odoo
Tubería HDPE,487.84,331.72,m2,CEMENTO SUR,2024-07-08,20260405_232605,erp_odoo
Arena Gruesa,521.57,11.72,,YURA,2024-02-05,20260405_232605,erp_odoo
Piedra 3/4,2808.91,279.23,ton,FIRTH,2024-06-10,20260405_232605,erp_odoo
Emulsión,2982.03,305.46,und,EXSA,2024-09-23,20260405_232605,erp_odoo
Arena Gruesa,4335.02,428.65,,CEMENTO SUR,2024-03-18,20260405_232605,erp_odoo
Asfalto RC-250,4073.61,675.34,m2,UNACEM,2024-11-12,20260405_232605,erp_odoo
Arena Gruesa,1108.88,524.89,ton,FIRTH,2024-08-30,20260405_232605,erp_odoo
Tubería HDPE,2787.47,64.94,m2,FIRTH,2024-04-22,20260405_232605,erp_odoo
Emulsión,3684.58,147.23,m3,CONCREMAX,2024-04-17,20260405_232605,erp_odoo
Geomalla,483.11,50.37,m2,YURA,2024-10-31,20260405_232605,erp_odoo
Cemento,1585.8,368.57,m3,UNACEM,2024-04-15,20260405_232605,erp_odoo
Asfalto RC-250,4497.68,163.61,ton,YURA,2024-11-28,20260405_232605,erp_odoo
Geomalla,3008.22,211.12,ton,YURA,2024-08-17,20260405_232605,erp_odoo
Emulsión,3348.53,326.14,ml,CONCREMAX,2024-05-26,20260405_232605,erp_odoo
Arena Gruesa,700.52,476.95,ton,CEMENTO SUR,2024-05-15,20260405_232605,erp_odoo
Arena Gruesa,2270.64,21.11,ml,UNACEM,2024-02-07,20260405_232605,erp_odoo
Asfalto RC-250,2785.46,492.97,ml,EXSA,2024-03-16,20260405_232605,erp_odoo
Tubería HDPE,172.67,635.9,ml,UNACEM,2024-08-29,20260405_232605,erp_odoo
Piedra 3/4,2766.8,203.98,,CEMENTO SUR,2024-05-12,20260405_232605,erp_odoo
Geomalla,1935.75,707.75,und,UNACEM,2024-09-18,20260405_232605,erp_odoo
Asfalto RC-250,70.9,773.91,,UNACEM,2024-03-24,20260405_232605,erp_odoo
Cemento,2433.74,214.53,,FIRTH,2024-11-24,20260405_232605,erp_odoo
Emulsión,4485.33,125.53,m2,CEMENTO SUR,2024-09-11,20260405_232605,erp_odoo
Piedra 3/4,290.06,648.09,ton,CEMENTO SUR,2024-05-17,20260405_232605,erp_odoo
Cemento,873.04,579.03,,CONCREMAX,2024-11-27,20260405_232605,erp_odoo
Piedra 3/4,3875.54,142.0,,CONCREMAX,2024-10-03,20260405_232605,erp_odoo
Arena Gruesa,56.45,787.62,ton,EXSA,2024-05-06,20260405_232605,erp_odoo
Piedra 3/4,4850.89,342.69,,FIRTH,2024-02-18,20260405_232605,erp_odoo
Cemento,1868.89,326.4,ml,CONCREMAX,2024-08-23,20260405_232605,erp_odoo
Geomalla,2218.81,86.81,,CONCREMAX,2024-11-26,20260405_232605,erp_odoo
Geomalla,700.66,469.25,m2,YURA,2024-03-28,20260405_232605,erp_odoo
Cemento,3323.07,656.23,und,UNACEM,2024-10-27,20260405_232605,erp_odoo
Asfalto RC-250,48.29,757.12,ml,UNACEM,2024-10-28,20260405_232605,erp_odoo
Cemento,3591.61,728.9,ton,FIRTH,2024-01-18,20260405_232605,erp_odoo
Piedra 3/4,2413.92,153.01,m3,YURA,2024-06-27,20260405_232605,erp_odoo
Tubería HDPE,2063.9,436.81,m2,EXSA,2024-01-05,20260405_232605,erp_odoo
Asfalto RC-250,2545.0,180.0,ml,CONCREMAX,2024-11-02,20260405_232605,erp_odoo
Arena Gruesa,4782.76,756.12,und,UNACEM,2024-01-09,20260405_232605,erp_odoo
Acero Corrugado,122.84,403.75,ton,UNACEM,2024-05-17,20260405_232605,erp_odoo
Geomalla,3135.27,97.63,m2,EXSA,2024-07-17,20260405_232605,erp_odoo
Asfalto RC-250,285.81,445.2,,UNACEM,2024-06-03,20260405_232605,erp_odoo
Acero Corrugado,741.35,171.5,ton,UNACEM,2024-04-03,20260405_232605,erp_odoo
Tubería HDPE,180.45,569.11,m3,YURA,2024-11-23,20260405_232605,erp_odoo
Geomalla,4922.84,335.72,ml,YURA,2024-06-11,20260405_232605,erp_odoo
Asfalto RC-250,683.91,446.7,ton,EXSA,2024-09-24,20260405_232605,erp_odoo
