tipo_falla,severidad,tiempo_parada_hrs,costo_reparacion,equipo_id,id_proyecto,fecha,_ingested_at,_source
Falla software,Alta,0.4,3597.81,EQ-0961,PRY-0016,2024-03-05,20260405_211439,sistema_hsec
Rotura tubería,Baja,5.1,41416.54,EQ-0669,PRY-0051,2024-03-02,20260405_211439,sistema_hsec
Falla eléctrica,BAJA,0.8,46754.07,EQ-0103,PRY-0305,2024-05-07,20260405_211439,sistema_hsec
Falla software,BAJA,0.3,14037.48,EQ-1894,PRY-0287,2024-08-29,20260405_211439,sistema_hsec
Falla software,Baja,5.4,33280.19,EQ-0795,PRY-0276,2024-08-04,20260405_211439,sistema_hsec
Deslizamiento,Media,-5.0,6606.32,EQ-0891,PRY-0297,2024-07-08,20260405_211439,sistema_hsec
Falla eléctrica,critica,21.5,24765.08,EQ-0540,PRY-0338,2024-06-05,20260405_211439,sistema_hsec
Falla mecánica,Crítica,5.6,10842.59,EQ-1298,PRY-0407,2024-03-28,20260405_211439,sistema_hsec
Falla mecánica,Baja,3.7,26731.69,EQ-1627,PRY-0124,2024-05-01,20260405_211439,sistema_hsec
Falla eléctrica,Baja,30.1,44562.61,EQ-0033,PRY-0126,2024-09-06,20260405_211439,sistema_hsec
Rotura tubería,BAJA,7.3,14386.09,EQ-0720,PRY-0496,2024-08-12,20260405_211439,sistema_hsec
Falla software,BAJA,6.1,4123.86,EQ-0713,PRY-0007,2024-05-06,20260405_211439,sistema_hsec
Accidente,Media,2.2,42810.31,EQ-0769,PRY-0232,2024-02-24,20260405_211439,sistema_hsec
Accidente,Baja,41.8,38779.98,EQ-1515,PRY-0356,2024-07-23,20260405_211439,sistema_hsec
Lluvia,Baja,6.4,48381.99,EQ-0539,PRY-0353,2024-12-11,20260405_211439,sistema_hsec
Lluvia,Media,13.1,18682.29,EQ-1412,PRY-0436,2024-03-21,20260405_211439,sistema_hsec
Deslizamiento,Media,34.0,6691.75,EQ-0897,PRY-0461,2024-01-01,20260405_211439,sistema_hsec
Falla eléctrica,critica,9.9,35203.5,EQ-1402,PRY-0148,2024-12-29,20260405_211439,sistema_hsec
Falla software,Baja,9.3,29397.59,EQ-0245,PRY-0065,2024-05-14,20260405_211439,sistema_hsec
Deslizamiento,Baja,8.6,37246.43,EQ-0522,PRY-0497,2024-07-10,20260405_211439,sistema_hsec
Rotura tubería,Alta,2.0,39997.98,EQ-1618,PRY-0361,2024-08-07,20260405_211439,sistema_hsec
Deslizamiento,Crítica,0.6,42945.41,EQ-1771,PRY-0111,2024-02-16,20260405_211439,sistema_hsec
Rotura tubería,Media,0.0,12624.04,EQ-1400,PRY-0381,2024-09-06,20260405_211439,sistema_hsec
Deslizamiento,BAJA,2.0,43296.27,EQ-0493,PRY-0115,2024-02-24,20260405_211439,sistema_hsec
Lluvia,Media,2.6,8551.77,EQ-1346,PRY-0360,2024-09-02,20260405_211439,sistema_hsec
Falla eléctrica,Baja,5.0,4936.04,EQ-1912,PRY-0065,2024-11-13,20260405_211439,sistema_hsec
Rotura tubería,Alta,10.8,29973.83,EQ-1543,PRY-0381,2024-08-11,20260405_211439,sistema_hsec
Rotura tubería,Baja,9.0,16327.39,EQ-0755,PRY-0252,2024-08-29,20260405_211439,sistema_hsec
Rotura tubería,Media,17.0,37894.96,EQ-1250,PRY-0183,2024-06-10,20260405_211439,sistema_hsec
Falla mecánica,BAJA,10.4,7019.4,EQ-0295,PRY-0494,2024-09-09,20260405_211439,sistema_hsec
Falla software,Media,2.3,37603.45,EQ-1856,PRY-0333,2024-04-11,20260405_211439,sistema_hsec
Falla eléctrica,Alta,1.1,14771.23,EQ-1791,PRY-0290,2024-10-27,20260405_211439,sistema_hsec
Rotura tubería,Baja,4.9,28951.4,EQ-0922,PRY-0298,2024-03-23,20260405_211439,sistema_hsec
Rotura tubería,Baja,13.7,53644.49,EQ-1402,PRY-0035,2024-11-05,20260405_211439,sistema_hsec
Deslizamiento,BAJA,1.6,54437.12,EQ-0502,PRY-0447,2024-05-15,20260405_211439,sistema_hsec
Falla mecánica,Media,1.3,25207.33,EQ-0531,PRY-0114,2024-07-13,20260405_211439,sistema_hsec
Falla eléctrica,BAJA,6.1,52797.06,EQ-1217,PRY-0396,2024-05-24,20260405_211439,sistema_hsec
Falla software,Baja,13.6,35525.97,EQ-1981,PRY-0020,2024-03-04,20260405_211439,sistema_hsec
Falla mecánica,Baja,0.8,34441.66,EQ-1443,PRY-0368,2024-12-28,20260405_211439,sistema_hsec
Accidente,BAJA,6.8,52626.05,EQ-0227,PRY-0118,2024-12-18,20260405_211439,sistema_hsec
Rotura tubería,Baja,5.9,49621.54,EQ-1370,PRY-0340,2024-04-04,20260405_211439,sistema_hsec
Falla mecánica,Alta,1.0,28569.95,EQ-0315,PRY-0387,2024-07-30,20260405_211439,sistema_hsec
Falla mecánica,BAJA,4.3,36256.88,EQ-1760,PRY-0290,2024-04-14,20260405_211439,sistema_hsec
Rotura tubería,Crítica,11.5,11411.58,EQ-0603,PRY-0159,2024-10-24,20260405_211439,sistema_hsec
Deslizamiento,Alta,6.8,28184.91,EQ-1297,PRY-0353,2024-01-09,20260405_211439,sistema_hsec
Accidente,Media,0.2,39259.68,EQ-0396,PRY-0112,2024-08-22,20260405_211439,sistema_hsec
Deslizamiento,BAJA,14.4,19043.49,EQ-1156,PRY-0177,2024-08-12,20260405_211439,sistema_hsec
Falla eléctrica,critica,21.9,12942.62,EQ-1342,PRY-0452,2024-11-30,20260405_211439,sistema_hsec
Deslizamiento,BAJA,12.6,8536.7,EQ-0862,PRY-0403,2024-12-20,20260405_211439,sistema_hsec
Accidente,BAJA,6.0,46275.83,EQ-1287,PRY-0213,2024-11-08,20260405_211439,sistema_hsec
Falla mecánica,BAJA,11.6,3180.12,EQ-1772,PRY-0487,2024-09-11,20260405_211439,sistema_hsec
Deslizamiento,Media,1.5,41385.2,EQ-1553,PRY-0128,2024-04-05,20260405_211439,sistema_hsec
Deslizamiento,Media,-5.0,8604.77,EQ-0515,PRY-0469,2024-03-01,20260405_211439,sistema_hsec
Lluvia,Media,8.6,54641.58,EQ-0533,PRY-0233,2024-08-26,20260405_211439,sistema_hsec
Falla mecánica,critica,5.3,16547.95,EQ-0444,PRY-0482,2024-04-20,20260405_211439,sistema_hsec
Falla software,Media,5.8,6459.43,EQ-1225,PRY-0421,2024-10-07,20260405_211439,sistema_hsec
Accidente,Baja,5.2,44723.78,EQ-0063,PRY-0046,2024-10-04,20260405_211439,sistema_hsec
Lluvia,Crítica,7.4,21163.18,EQ-0259,PRY-0249,2024-10-02,20260405_211439,sistema_hsec
Lluvia,Media,13.2,41865.93,EQ-1050,PRY-0048,2024-11-26,20260405_211439,sistema_hsec
Accidente,Alta,15.0,40745.39,EQ-1360,PRY-0284,2024-12-09,20260405_211439,sistema_hsec
Falla eléctrica,critica,22.7,28948.29,EQ-1218,PRY-0462,2024-11-13,20260405_211439,sistema_hsec
Falla mecánica,Baja,19.7,11264.03,EQ-1132,PRY-0093,2024-10-05,20260405_211439,sistema_hsec
Falla software,Baja,13.0,4729.29,EQ-0922,PRY-0407,2024-12-31,20260405_211439,sistema_hsec
Falla mecánica,Media,10.9,44312.44,EQ-0919,PRY-0403,2024-03-01,20260405_211439,sistema_hsec
Accidente,Baja,8.6,24393.26,EQ-1534,PRY-0342,2024-05-03,20260405_211439,sistema_hsec
Falla software,Crítica,12.0,18041.52,EQ-0030,PRY-0189,2024-09-22,20260405_211439,sistema_hsec
Falla eléctrica,critica,2.5,907.78,EQ-1474,PRY-0408,2024-08-13,20260405_211439,sistema_hsec
Falla software,Alta,0.3,24149.75,EQ-1908,PRY-0190,2024-08-27,20260405_211439,sistema_hsec
Lluvia,Baja,14.4,23908.01,EQ-1212,PRY-0490,2024-12-25,20260405_211439,sistema_hsec
Falla eléctrica,critica,-5.0,13234.19,EQ-1142,PRY-0226,2024-05-27,20260405_211439,sistema_hsec
Rotura tubería,Baja,2.1,13525.22,EQ-1038,PRY-0020,2024-07-03,20260405_211439,sistema_hsec
Falla mecánica,Alta,12.8,49346.94,EQ-1998,PRY-0170,2024-05-24,20260405_211439,sistema_hsec
Rotura tubería,Baja,4.6,32280.34,EQ-1461,PRY-0062,2024-09-13,20260405_211439,sistema_hsec
Rotura tubería,Baja,0.0,47064.56,EQ-0352,PRY-0178,2024-07-21,20260405_211439,sistema_hsec
Falla software,Baja,6.4,50629.88,EQ-1516,PRY-0001,2024-08-16,20260405_211439,sistema_hsec
Falla eléctrica,Baja,-5.0,52563.14,EQ-2000,PRY-0215,2024-08-25,20260405_211439,sistema_hsec
Falla software,Alta,9.5,27727.32,EQ-0770,PRY-0272,2024-10-02,20260405_211439,sistema_hsec
Falla eléctrica,Baja,2.8,1772.44,EQ-0022,PRY-0028,2024-05-24,20260405_211439,sistema_hsec
Accidente,critica,7.6,18767.0,EQ-1992,PRY-0218,2024-09-11,20260405_211439,sistema_hsec
Falla mecánica,Baja,5.1,36561.96,EQ-0215,PRY-0415,2024-06-20,20260405_211439,sistema_hsec
Falla software,Alta,12.8,47002.67,EQ-1326,PRY-0462,2024-03-24,20260405_211439,sistema_hsec
Accidente,Media,17.3,17124.13,EQ-0758,PRY-0436,2024-08-13,20260405_211439,sistema_hsec
Falla mecánica,Alta,2.0,24483.5,EQ-0816,PRY-0109,2024-06-20,20260405_211439,sistema_hsec
Falla mecánica,Media,8.5,31940.92,EQ-0770,PRY-0165,2024-09-07,20260405_211439,sistema_hsec
Falla software,Baja,4.8,3761.26,EQ-0076,PRY-0273,2024-05-22,20260405_211439,sistema_hsec
Deslizamiento,Baja,1.6,16892.95,EQ-1083,PRY-0265,2024-01-29,20260405_211439,sistema_hsec
Accidente,Baja,20.5,33147.85,EQ-1738,PRY-0345,2024-06-06,20260405_211439,sistema_hsec
Lluvia,Media,39.6,18019.91,EQ-0566,PRY-0397,2024-09-01,20260405_211439,sistema_hsec
Rotura tubería,BAJA,4.6,27317.88,EQ-0171,PRY-0400,2024-05-11,20260405_211439,sistema_hsec
Accidente,Media,0.9,13949.01,EQ-0791,PRY-0478,2024-06-19,20260405_211439,sistema_hsec
Falla software,Media,11.1,16478.25,EQ-0830,PRY-0116,2024-02-05,20260405_211439,sistema_hsec
Falla eléctrica,Alta,5.9,52331.44,EQ-1817,PRY-0086,2024-03-31,20260405_211439,sistema_hsec
Rotura tubería,Media,13.0,9888.0,EQ-1990,PRY-0006,2024-12-20,20260405_211439,sistema_hsec
Deslizamiento,Baja,4.6,10990.37,EQ-0637,PRY-0061,2024-04-27,20260405_211439,sistema_hsec
Falla eléctrica,Alta,8.2,7700.89,EQ-1541,PRY-0169,2024-10-11,20260405_211439,sistema_hsec
Rotura tubería,BAJA,6.3,39779.74,EQ-1574,PRY-0460,2024-03-03,20260405_211439,sistema_hsec
Falla eléctrica,Media,4.2,16935.43,EQ-0431,PRY-0167,2024-03-04,20260405_211439,sistema_hsec
Falla mecánica,Baja,4.6,30719.27,EQ-0192,PRY-0104,2024-06-26,20260405_211439,sistema_hsec
Lluvia,Media,4.1,5218.48,EQ-1297,PRY-0181,2024-01-24,20260405_211439,sistema_hsec
Falla software,BAJA,22.3,3278.98,EQ-1300,PRY-0350,2024-02-26,20260405_211439,sistema_hsec
Rotura tubería,Baja,8.2,10969.87,EQ-1906,PRY-0187,2024-07-03,20260405_211439,sistema_hsec
Falla software,critica,8.5,9277.32,EQ-1209,PRY-0119,2024-11-12,20260405_211439,sistema_hsec
Accidente,BAJA,1.3,23486.44,EQ-1613,PRY-0496,2024-08-12,20260405_211439,sistema_hsec
Lluvia,BAJA,22.1,14195.28,EQ-1680,PRY-0170,2024-11-01,20260405_211439,sistema_hsec
Falla software,Baja,14.3,4315.28,EQ-0564,PRY-0263,2024-12-01,20260405_211439,sistema_hsec
Falla mecánica,Alta,18.5,18992.36,EQ-1081,PRY-0039,2024-06-20,20260405_211439,sistema_hsec
Deslizamiento,Alta,17.5,19761.58,EQ-0939,PRY-0227,2024-04-13,20260405_211439,sistema_hsec
Falla eléctrica,Baja,20.7,37238.09,EQ-0157,PRY-0307,2024-06-17,20260405_211439,sistema_hsec
Falla mecánica,Media,3.6,15626.64,EQ-0134,PRY-0028,2024-04-04,20260405_211439,sistema_hsec
Accidente,Alta,20.3,50201.89,EQ-1951,PRY-0398,2024-07-25,20260405_211439,sistema_hsec
Accidente,Baja,21.5,32704.56,EQ-1342,PRY-0266,2024-09-29,20260405_211439,sistema_hsec
Accidente,Baja,25.2,28042.68,EQ-0868,PRY-0146,2024-02-14,20260405_211439,sistema_hsec
Lluvia,Media,17.2,53289.13,EQ-1205,PRY-0336,2024-04-29,20260405_211439,sistema_hsec
