equipo_id,tipo_equipo,horas_trabajadas,combustible_L,estado,eficiencia_pct,fecha_registro,_ingested_at,_source
EQ-1525,Pavimentadora,999.1,2027.2,Mantenimiento,95.3,2024-09-05,20260405_172418,iot_telemetry
EQ-0025,Compactadora,1735.7,3428.4,Operativo,97.7,2024-10-27,20260405_172418,iot_telemetry
EQ-1211,Excavadora,1300.5,1220.5,Falla crítica,104.0,2024-06-26,20260405_172418,iot_telemetry
EQ-1449,Volquete,2199.8,335.3,null,102.7,2024-07-20,20260405_172418,iot_telemetry
EQ-1823,Grúa,820.1,4618.5,null,51.7,2024-10-19,20260405_172418,iot_telemetry
EQ-0667,Compactadora,1522.3,3870.8,OPERATIVO,85.4,2024-09-16,20260405_172418,iot_telemetry
EQ-0075,Retroexcavadora,723.3,222.5,OPERATIVO,75.7,2024-09-19,20260405_172418,iot_telemetry
EQ-0279,Retroexcavadora,805.2,3015.2,null,47.3,2024-08-03,20260405_172418,iot_telemetry
EQ-1654,Excavadora,1019.6,2376.7,Falla crítica,52.7,2024-01-02,20260405_172418,iot_telemetry
EQ-0199,Pavimentadora,1207.9,2548.4,En espera,104.8,2024-06-10,20260405_172418,iot_telemetry
EQ-0697,Pavimentadora,581.8,3540.8,En espera,64.2,2024-05-10,20260405_172418,iot_telemetry
EQ-0409,Volquete,1518.9,1680.4,OPERATIVO,60.0,2024-01-19,20260405_172418,iot_telemetry
EQ-0627,Pavimentadora,78.3,2064.1,Operativo,63.9,2024-07-25,20260405_172418,iot_telemetry
EQ-1300,Compactadora,1102.7,5110.0,null,92.7,2024-06-26,20260405_172418,iot_telemetry
EQ-0329,Rodillo,834.1,350.2,Operativo,49.4,2024-11-26,20260405_172418,iot_telemetry
EQ-0581,Motoniveladora,1287.3,1386.6,En espera,95.7,2024-03-29,20260405_172418,iot_telemetry
EQ-1582,Retroexcavadora,946.7,4739.8,En espera,43.5,2024-11-11,20260405_172418,iot_telemetry
EQ-0841,Grúa,1575.6,308.8,En espera,45.2,2024-06-13,20260405_172418,iot_telemetry
EQ-1176,Excavadora,612.1,432.3,null,95.7,2024-12-06,20260405_172418,iot_telemetry
EQ-1638,Grúa,762.3,2862.0,Mantenimiento,50.6,2024-03-31,20260405_172418,iot_telemetry
EQ-0055,Volquete,1863.0,2211.0,Mantenimiento,70.6,2024-09-29,20260405_172418,iot_telemetry
EQ-0875,Rodillo,140.2,718.0,Mantenimiento,75.2,2024-02-27,20260405_172418,iot_telemetry
EQ-1668,Retroexcavadora,1484.5,1353.3,Operativo,76.7,2024-06-03,20260405_172418,iot_telemetry
EQ-1824,Pavimentadora,1893.6,4949.1,Mantenimiento,87.3,2024-05-02,20260405_172418,iot_telemetry
EQ-1377,Rodillo,1646.2,4308.5,En espera,84.3,2024-04-20,20260405_172418,iot_telemetry
EQ-0439,Motoniveladora,1438.5,4070.9,En espera,87.3,2024-08-02,20260405_172418,iot_telemetry
EQ-0305,Retroexcavadora,584.4,4754.8,null,95.5,2024-10-29,20260405_172418,iot_telemetry
EQ-1233,Retroexcavadora,1869.4,5425.5,En espera,95.7,2024-04-24,20260405_172418,iot_telemetry
EQ-0483,Rodillo,350.8,3132.2,Falla crítica,52.2,2024-10-08,20260405_172418,iot_telemetry
EQ-0825,Excavadora,1205.0,4823.2,null,46.9,2024-02-25,20260405_172418,iot_telemetry
EQ-1053,Pavimentadora,1383.1,340.3,Operativo,86.8,2024-10-11,20260405_172418,iot_telemetry
EQ-0657,Volquete,1000.7,5273.0,Operativo,71.8,2024-02-25,20260405_172418,iot_telemetry
EQ-1354,Retroexcavadora,377.3,1243.5,Mantenimiento,81.6,2024-05-18,20260405_172418,iot_telemetry
EQ-1371,Retroexcavadora,1691.9,3525.7,null,70.4,2024-07-26,20260405_172418,iot_telemetry
EQ-0784,Retroexcavadora,1397.4,1194.0,Operativo,72.9,2024-04-21,20260405_172418,iot_telemetry
EQ-1458,Volquete,1376.5,1011.0,OPERATIVO,67.0,2024-10-27,20260405_172418,iot_telemetry
EQ-1754,Excavadora,1876.5,4977.5,En espera,99.0,2024-08-27,20260405_172418,iot_telemetry
EQ-0833,Motoniveladora,120.9,4678.7,Falla crítica,102.0,2024-01-09,20260405_172418,iot_telemetry
EQ-1944,Grúa,2054.1,3439.9,OPERATIVO,57.3,2024-07-26,20260405_172418,iot_telemetry
EQ-0346,Compactadora,1725.3,5021.2,null,87.0,2024-06-07,20260405_172418,iot_telemetry
EQ-1306,Rodillo,729.2,3552.5,Mantenimiento,63.9,2024-11-02,20260405_172418,iot_telemetry
EQ-0738,Retroexcavadora,508.3,131.2,En espera,92.4,2024-11-23,20260405_172418,iot_telemetry
EQ-0091,Grúa,1576.1,1303.3,Mantenimiento,103.1,2024-03-04,20260405_172418,iot_telemetry
EQ-0353,Excavadora,993.8,2898.7,OPERATIVO,69.4,2024-02-07,20260405_172418,iot_telemetry
EQ-1686,Pavimentadora,79.1,2035.4,OPERATIVO,65.8,2024-05-05,20260405_172418,iot_telemetry
EQ-1256,Rodillo,156.9,5176.5,Falla crítica,91.4,2024-02-07,20260405_172418,iot_telemetry
EQ-1969,Volquete,2058.4,3237.6,Falla crítica,102.5,2024-03-13,20260405_172418,iot_telemetry
EQ-0162,Pavimentadora,319.4,1901.8,En espera,85.6,2024-10-18,20260405_172418,iot_telemetry
EQ-1146,Grúa,2146.6,2439.1,null,85.3,2024-05-05,20260405_172418,iot_telemetry
EQ-0032,Compactadora,305.5,907.0,OPERATIVO,68.1,2024-05-25,20260405_172418,iot_telemetry
EQ-1247,Excavadora,507.1,4362.4,Operativo,51.1,2024-03-06,20260405_172418,iot_telemetry
EQ-1729,Grúa,1137.7,3744.9,OPERATIVO,77.9,2024-09-22,20260405_172418,iot_telemetry
EQ-1674,Excavadora,392.1,3809.8,OPERATIVO,50.5,2024-06-24,20260405_172418,iot_telemetry
EQ-1515,Volquete,212.7,716.0,OPERATIVO,64.6,2024-07-19,20260405_172418,iot_telemetry
EQ-0268,Volquete,308.0,5496.8,En espera,48.1,2024-01-15,20260405_172418,iot_telemetry
EQ-0459,Compactadora,1320.1,4155.0,Operativo,74.9,2024-12-03,20260405_172418,iot_telemetry
EQ-0644,Retroexcavadora,1445.3,471.1,OPERATIVO,60.2,2024-01-11,20260405_172418,iot_telemetry
EQ-0644,Rodillo,527.7,2100.9,Falla crítica,84.6,2024-04-20,20260405_172418,iot_telemetry
EQ-1841,Retroexcavadora,1153.5,5242.0,Falla crítica,74.4,2024-07-27,20260405_172418,iot_telemetry
EQ-0750,Retroexcavadora,1512.1,988.8,OPERATIVO,40.7,2024-05-17,20260405_172418,iot_telemetry
EQ-1363,Excavadora,2184.3,3888.6,null,89.1,2024-06-09,20260405_172418,iot_telemetry
EQ-1189,Pavimentadora,63.7,3107.7,Mantenimiento,91.3,2024-03-01,20260405_172418,iot_telemetry
EQ-0112,Pavimentadora,401.0,5377.7,OPERATIVO,44.0,2024-05-30,20260405_172418,iot_telemetry
EQ-1745,Excavadora,798.2,4160.5,Operativo,49.0,2024-11-14,20260405_172418,iot_telemetry
EQ-1791,Retroexcavadora,2151.2,3598.4,OPERATIVO,75.7,2024-09-07,20260405_172418,iot_telemetry
EQ-1307,Pavimentadora,966.7,1118.3,Operativo,61.1,2024-02-22,20260405_172418,iot_telemetry
EQ-0531,Grúa,1275.9,3171.4,null,51.2,2024-03-22,20260405_172418,iot_telemetry
EQ-1948,Motoniveladora,1781.4,4702.0,Operativo,70.5,2024-07-20,20260405_172418,iot_telemetry
EQ-0752,Rodillo,93.1,873.9,Mantenimiento,55.8,2024-03-04,20260405_172418,iot_telemetry
EQ-1163,Pavimentadora,2008.3,1611.3,OPERATIVO,76.7,2024-11-17,20260405_172418,iot_telemetry
EQ-1006,Volquete,1371.6,3847.7,En espera,78.1,2024-04-25,20260405_172418,iot_telemetry
EQ-1055,Compactadora,1798.1,3284.8,Mantenimiento,63.7,2024-12-27,20260405_172418,iot_telemetry
EQ-1131,Compactadora,833.1,4452.3,null,70.4,2024-04-02,20260405_172418,iot_telemetry
EQ-1825,Retroexcavadora,2038.8,1088.7,Operativo,52.6,2024-03-16,20260405_172418,iot_telemetry
EQ-0426,Rodillo,1078.7,4346.1,null,48.9,2024-10-05,20260405_172418,iot_telemetry
EQ-0801,Grúa,2020.3,919.7,En espera,97.1,2024-07-22,20260405_172418,iot_telemetry
EQ-1043,Motoniveladora,1444.2,2177.6,Falla crítica,78.7,2024-08-26,20260405_172418,iot_telemetry
EQ-0362,Rodillo,1369.9,917.7,En espera,61.9,2024-10-19,20260405_172418,iot_telemetry
EQ-0367,Compactadora,2023.3,1757.1,null,96.5,2024-08-24,20260405_172418,iot_telemetry
EQ-1659,Volquete,1512.0,5066.6,Falla crítica,67.7,2024-11-13,20260405_172418,iot_telemetry
EQ-1119,Rodillo,1813.5,5314.4,Operativo,64.9,2024-06-29,20260405_172418,iot_telemetry
EQ-1356,Rodillo,836.8,497.8,Operativo,64.7,2024-07-07,20260405_172418,iot_telemetry
EQ-0900,Grúa,666.2,130.9,Falla crítica,47.8,2024-08-08,20260405_172418,iot_telemetry
EQ-0090,Rodillo,38.9,1616.7,Operativo,43.0,2024-04-06,20260405_172418,iot_telemetry
EQ-1596,Rodillo,107.6,4773.6,null,47.3,2024-07-15,20260405_172418,iot_telemetry
EQ-1500,Volquete,553.1,888.0,Operativo,53.0,2024-10-22,20260405_172418,iot_telemetry
EQ-0555,Rodillo,532.6,200.9,Falla crítica,55.2,2024-06-21,20260405_172418,iot_telemetry
EQ-0590,Volquete,381.6,2052.6,Mantenimiento,85.9,2024-04-09,20260405_172418,iot_telemetry
EQ-0337,Compactadora,880.8,326.1,Operativo,75.7,2024-09-07,20260405_172418,iot_telemetry
EQ-1521,Compactadora,1370.8,3758.5,null,58.8,2024-04-03,20260405_172418,iot_telemetry
EQ-1005,Retroexcavadora,1947.2,1929.1,En espera,61.6,2024-08-12,20260405_172418,iot_telemetry
EQ-0920,Grúa,576.3,4923.4,Mantenimiento,42.4,2024-06-07,20260405_172418,iot_telemetry
EQ-0543,Excavadora,2000.5,181.6,Mantenimiento,100.1,2024-07-05,20260405_172418,iot_telemetry
EQ-1053,Compactadora,847.6,4580.2,Mantenimiento,50.8,2024-07-30,20260405_172418,iot_telemetry
EQ-0788,Volquete,233.8,4538.5,null,70.5,2024-05-19,20260405_172418,iot_telemetry
EQ-0912,Retroexcavadora,2192.5,4117.1,En espera,83.1,2024-12-26,20260405_172418,iot_telemetry
EQ-0951,Pavimentadora,2186.6,2475.2,Operativo,93.3,2024-11-06,20260405_172418,iot_telemetry
EQ-1008,Grúa,634.6,3437.9,En espera,58.9,2024-06-29,20260405_172418,iot_telemetry
EQ-0477,Rodillo,1817.0,3957.6,Mantenimiento,102.7,2024-04-05,20260405_172418,iot_telemetry
EQ-0141,Grúa,765.5,3170.9,null,49.9,2024-06-14,20260405_172418,iot_telemetry
EQ-0947,Rodillo,949.8,1967.9,En espera,89.0,2024-11-05,20260405_172418,iot_telemetry
EQ-0649,Excavadora,817.7,675.5,Falla crítica,59.1,2024-01-06,20260405_172418,iot_telemetry
EQ-1554,Volquete,418.0,4858.2,Operativo,102.8,2024-02-19,20260405_172418,iot_telemetry
EQ-0763,Excavadora,1181.2,2061.1,null,49.7,2024-01-19,20260405_172418,iot_telemetry
EQ-1241,Volquete,1479.9,3982.2,Falla crítica,68.7,2024-03-04,20260405_172418,iot_telemetry
EQ-0096,Volquete,941.4,174.6,Operativo,57.3,2024-12-13,20260405_172418,iot_telemetry
EQ-0528,Excavadora,1880.2,4494.8,Operativo,87.5,2024-10-30,20260405_172418,iot_telemetry
EQ-1629,Grúa,1181.5,1523.3,Falla crítica,98.8,2024-04-15,20260405_172418,iot_telemetry
EQ-1459,Excavadora,1348.9,4465.3,OPERATIVO,54.1,2024-03-29,20260405_172418,iot_telemetry
EQ-0121,Motoniveladora,499.8,4462.3,OPERATIVO,51.0,2024-01-25,20260405_172418,iot_telemetry
EQ-0860,Excavadora,2112.8,5231.4,null,51.1,2024-05-13,20260405_172418,iot_telemetry
EQ-1217,Volquete,587.0,2715.3,Falla crítica,41.6,2024-09-13,20260405_172418,iot_telemetry
EQ-0107,Volquete,1848.1,1538.3,Operativo,66.0,2024-09-02,20260405_172418,iot_telemetry
EQ-1653,Motoniveladora,373.1,5496.8,En espera,104.7,2024-08-05,20260405_172418,iot_telemetry
EQ-0159,Grúa,2028.7,3972.4,Falla crítica,50.7,2024-05-27,20260405_172418,iot_telemetry
EQ-1736,Motoniveladora,2176.3,5441.1,null,58.6,2024-11-05,20260405_172418,iot_telemetry
EQ-1195,Compactadora,1774.5,5328.3,Falla crítica,72.1,2024-02-17,20260405_172418,iot_telemetry
EQ-1363,Rodillo,1213.8,1927.8,null,85.7,2024-06-08,20260405_172418,iot_telemetry
EQ-1675,Rodillo,1330.1,4363.8,En espera,68.9,2024-03-15,20260405_172418,iot_telemetry
EQ-0322,Grúa,713.8,131.3,En espera,64.6,2024-06-22,20260405_172418,iot_telemetry
EQ-1448,Pavimentadora,52.4,1087.6,Operativo,100.3,2024-08-06,20260405_172418,iot_telemetry
EQ-1302,Pavimentadora,1137.9,4844.7,Operativo,82.1,2024-02-24,20260405_172418,iot_telemetry
EQ-1366,Volquete,196.1,3658.4,Operativo,51.2,2024-10-09,20260405_172418,iot_telemetry
EQ-0361,Retroexcavadora,1024.6,1863.6,OPERATIVO,65.1,2024-07-20,20260405_172418,iot_telemetry
EQ-1892,Retroexcavadora,1141.5,4725.6,Mantenimiento,88.7,2024-07-26,20260405_172418,iot_telemetry
EQ-1046,Retroexcavadora,492.1,412.4,Mantenimiento,85.9,2024-08-29,20260405_172418,iot_telemetry
EQ-1137,Rodillo,1383.5,3905.3,Mantenimiento,45.9,2024-03-06,20260405_172418,iot_telemetry
EQ-0478,Volquete,699.9,4524.7,Operativo,99.9,2024-06-28,20260405_172418,iot_telemetry
EQ-1357,Grúa,693.7,4282.9,Mantenimiento,73.6,2024-12-07,20260405_172418,iot_telemetry
EQ-0925,Excavadora,2131.8,5349.3,Falla crítica,81.8,2024-05-31,20260405_172418,iot_telemetry
EQ-1911,Volquete,600.7,1595.7,Operativo,42.1,2024-03-21,20260405_172418,iot_telemetry
EQ-0459,Grúa,330.6,50.2,Operativo,83.0,2024-05-09,20260405_172418,iot_telemetry
EQ-0229,Retroexcavadora,886.9,2121.3,Operativo,52.0,2024-09-01,20260405_172418,iot_telemetry
EQ-0956,Rodillo,1951.4,2327.3,Falla crítica,90.8,2024-09-30,20260405_172418,iot_telemetry
EQ-0054,Retroexcavadora,1385.2,5345.7,Mantenimiento,98.8,2024-12-14,20260405_172418,iot_telemetry
EQ-1342,Compactadora,984.3,5150.1,Falla crítica,99.5,2024-01-07,20260405_172418,iot_telemetry
EQ-1950,Motoniveladora,264.0,554.1,null,102.9,2024-04-02,20260405_172418,iot_telemetry
EQ-1549,Retroexcavadora,543.2,2552.5,En espera,104.1,2024-11-16,20260405_172418,iot_telemetry
EQ-1832,Pavimentadora,2028.8,1935.5,Mantenimiento,92.3,2024-07-30,20260405_172418,iot_telemetry
EQ-1215,Motoniveladora,1517.1,2172.9,Falla crítica,79.8,2024-06-07,20260405_172418,iot_telemetry
EQ-1327,Excavadora,969.8,4138.8,Mantenimiento,61.9,2024-08-13,20260405_172418,iot_telemetry
EQ-0455,Rodillo,293.3,3252.4,null,43.6,2024-01-03,20260405_172418,iot_telemetry
EQ-1271,Retroexcavadora,140.8,3549.5,En espera,92.9,2024-04-17,20260405_172418,iot_telemetry
EQ-1333,Volquete,722.2,4045.3,OPERATIVO,44.8,2024-11-18,20260405_172418,iot_telemetry
EQ-1287,Volquete,574.5,4046.0,Mantenimiento,80.5,2024-10-30,20260405_172418,iot_telemetry
EQ-0607,Rodillo,1868.8,2183.8,Mantenimiento,62.1,2024-05-27,20260405_172418,iot_telemetry
EQ-1913,Motoniveladora,1689.8,2186.3,OPERATIVO,76.3,2024-07-07,20260405_172418,iot_telemetry
EQ-1688,Pavimentadora,1776.0,2748.0,Operativo,73.8,2024-01-18,20260405_172418,iot_telemetry
EQ-1910,Compactadora,207.8,2088.6,Falla crítica,69.0,2024-08-11,20260405_172418,iot_telemetry
EQ-0752,Motoniveladora,1760.5,3391.1,OPERATIVO,42.9,2024-12-25,20260405_172418,iot_telemetry
EQ-0918,Volquete,1247.9,4993.8,Mantenimiento,78.6,2024-03-09,20260405_172418,iot_telemetry
EQ-0384,Compactadora,195.6,4756.3,OPERATIVO,63.5,2024-11-26,20260405_172418,iot_telemetry
EQ-1170,Pavimentadora,1034.6,4452.1,En espera,73.3,2024-02-26,20260405_172418,iot_telemetry
EQ-1687,Compactadora,-1.0,3548.1,OPERATIVO,42.0,2024-09-19,20260405_172418,iot_telemetry
EQ-0658,Motoniveladora,284.0,1896.2,Mantenimiento,55.9,2024-02-22,20260405_172418,iot_telemetry
EQ-0455,Pavimentadora,1897.1,1745.2,null,48.5,2024-12-30,20260405_172418,iot_telemetry
EQ-1573,Volquete,-1.0,3698.1,En espera,96.1,2024-10-04,20260405_172418,iot_telemetry
EQ-0183,Rodillo,551.5,1418.4,Mantenimiento,98.3,2024-10-17,20260405_172418,iot_telemetry
EQ-1452,Excavadora,1672.5,3446.1,Operativo,95.1,2024-02-28,20260405_172418,iot_telemetry
EQ-1417,Rodillo,333.4,4902.0,En espera,42.3,2024-01-14,20260405_172418,iot_telemetry
EQ-1890,Rodillo,108.6,2405.5,null,68.6,2024-06-08,20260405_172418,iot_telemetry
EQ-0737,Grúa,150.1,2368.4,OPERATIVO,103.8,2024-10-24,20260405_172418,iot_telemetry
EQ-0950,Pavimentadora,395.6,3319.1,En espera,41.4,2024-01-27,20260405_172418,iot_telemetry
EQ-1933,Motoniveladora,1722.9,4308.5,En espera,74.4,2024-03-05,20260405_172418,iot_telemetry
EQ-1766,Retroexcavadora,1812.8,2480.5,Mantenimiento,91.8,2024-05-10,20260405_172418,iot_telemetry
EQ-0024,Retroexcavadora,2077.4,4162.6,OPERATIVO,95.5,2024-05-10,20260405_172418,iot_telemetry
